UsageClass	CheckoutType	MaterialType	CheckoutYear	CheckoutMonth	Checkouts	Title	ISBN	Creator	Subjects	Publisher	PublicationYear
Digital	OverDrive	EBOOK	2020	6	6	House of Trump, House of Putin: The Untold Story of Donald Trump and the Russian Mafia		Craig Unger	Nonfiction, Politics	Penguin Group (USA), Inc.	2018
Digital	OverDrive	EBOOK	2020	6	3	City on Fire: the fight for Hong Kong		Antony Dapiran	Nonfiction, Politics	Scribe Publications	2020
Digital	OverDrive	EBOOK	2020	6	10	The Communist Manifesto		Karl Marx	Nonfiction, Politics	Duke Classics	2020
Digital	OverDrive	EBOOK	2020	6	2	The Management of Savagery: How America's National Security State Fueled the Rise of Al Qaeda, ISIS, and  Donald Trump		Max Blumenthal	Nonfiction, Politics	Random House, Inc.	2019
Digital	OverDrive	EBOOK	2020	6	25	Strangers in Their Own Land: Anger and Mourning on the American Right		Arlie Russell Hochschild	Nonfiction, Politics	Lightning Source Inc	2016
Digital	OverDrive	EBOOK	2020	6	6	Let the People Pick the President: The Case for Abolishing the Electoral College		Jesse Wegman	Nonfiction, Politics	Macmillan Publishers	2020
Digital	OverDrive	AUDIOBOOK	2020	6	2	Supreme Ambition: Brett Kavanaugh and the Conservative Takeover (unabridged) (Unabridged)		Ruth Marcus	Nonfiction, Politics	Simon & Schuster - Audiobooks	2019
Digital	OverDrive	EBOOK	2020	6	1	Who Killed Berta Caceres?: The Murder of an Indigenous Defender and the Race to Save the Planet		Nina Lakhani	Nonfiction, Politics	Random House, Inc.	2020
Digital	OverDrive	EBOOK	2020	6	6	Proof of Conspiracy: How Trump's International Collusion Is Threatening American Democracy		Seth Abramson	Nonfiction, Politics	Macmillan Publishers	2019
Digital	OverDrive	EBOOK	2020	6	1	This Town		Mark Leibovich	Nonfiction, Politics	Penguin Group (USA), Inc.	2013
Digital	OverDrive	EBOOK	2020	6	1	An Imperfect Offering: Humanitarian Action for the Twenty-First Century		James Orbinski	Nonfiction, Politics	Bloomsbury USA	2011
Digital	OverDrive	AUDIOBOOK	2020	6	2	The Israel Lobby and U.S. Foreign Policy (Unabridged)		John J. Mearsheimer	Nonfiction, Politics	Macmillan Audio	2007
Digital	OverDrive	EBOOK	2020	6	1	The Politically Incorrect Guide to the Great Depression and the New Deal		Robert P. Murphy	Nonfiction, Politics	Simon & Schuster, Inc.	2010
Digital	OverDrive	AUDIOBOOK	2020	6	3	Code Red: How Progressives and Moderates Can Unite to Save Our Country (unabridged) (Unabridged)		E.J. Dionne, Jr.	Nonfiction, Politics	Macmillan Audio	2020
Digital	OverDrive	EBOOK	2020	6	3	Black Flags: The Rise of ISIS		Joby Warrick	Nonfiction, Politics	Random House, Inc.	2015
Digital	OverDrive	AUDIOBOOK	2020	6	4	Bullies: How the Left's Culture of Fear and Intimidation Silences Americans (unabridged) (Unabridged)		Ben Shapiro	Nonfiction, Politics	Tantor Media, Inc	2019
Digital	OverDrive	EBOOK	2020	6	4	We Have Not Been Moved: Resisting Racism and Militarism in 21st Century America		Elizabeth Betita Martínez	Nonfiction, Politics	Independent Publishers Group	2013
Digital	OverDrive	EBOOK	2020	6	2	The True Patriot		Eric Liu	Nonfiction, Politics	Random House, Inc.	2012
Digital	OverDrive	EBOOK	2020	6	5	The Conservative Sensibility		George F. Will	Nonfiction, Politics	Hachette Digital, Inc.	2019
Digital	OverDrive	EBOOK	2020	6	1	The Limousine Liberal: How an Incendiary Image United the Right and Fractured America		Steve Fraser	Nonfiction, Politics	Hachette Digital, Inc.	2016
Digital	OverDrive	EBOOK	2020	6	6	The New Class War: Saving Democracy from the Managerial Elite		Michael Lind	Nonfiction, Politics	Penguin Group (USA), Inc.	2020
Digital	OverDrive	EBOOK	2020	6	1	Social Security Works!: Why Social Security Isnt Going Broke and How Expanding It Will Help Us All		Nancy Altman	Nonfiction, Politics	Lightning Source Inc	2015
Digital	OverDrive	AUDIOBOOK	2020	6	4	Listen, Liberal: Or, What Ever Happened to the Party of the People? (unabridged) (Unabridged)		Thomas Frank	Nonfiction, Politics	Macmillan Audio	2016
Digital	OverDrive	EBOOK	2020	6	3	A Time to Build: From Family and Community to Congress and the Campus, How Recommitting to Our Institutions Can Revive the American Dream		Yuval Levin	Nonfiction, Politics	Hachette Digital, Inc.	2020
Digital	OverDrive	EBOOK	2020	6	1	The Seventeen Solutions: New Ideas for Our American Future		Ralph Nader	Nonfiction, Politics	HarperCollins Publishers Inc.	2012
Digital	OverDrive	EBOOK	2020	6	1	Firehouse		David Halberstam	Nonfiction, Politics	Hyperion	2013
Digital	OverDrive	EBOOK	2020	6	1	The Thomas Sowell Reader		Thomas Sowell	Nonfiction, Politics	Hachette Digital, Inc.	2011
Digital	OverDrive	EBOOK	2020	6	6	Because We Say So		Noam Chomsky	Nonfiction, Politics	Lightning Source Inc	2015
Digital	OverDrive	EBOOK	2020	6	2	Radicals for Capitalism: A Freewheeling History of the Modern American Libertarian Movement		Brian Doherty	Nonfiction, Politics	Hachette Digital, Inc.	2012
Digital	OverDrive	AUDIOBOOK	2020	6	2	We Are Indivisible: A Blueprint for Democracy After Trump (unabridged) (Unabridged)		Leah Greenberg	Nonfiction, Politics	Simon & Schuster - Audiobooks	2019
Digital	OverDrive	EBOOK	2020	6	1	The Master of Disguise: My Secret Life in the CIA		Antonio J. Mendez	Nonfiction, Politics	HarperCollins Publishers Inc.	2012
